Alcohol Notalcohol,Belted Unbelted,Bike Nonbike,Collision Type,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Day Of Week,Deer Nodeer,TOTAL CRASH,Document Nbr,FAC,First Harmful Event,FUN,Gr Nogr,Hitrun Not Hitrun,Injury Crashes,Intersection Type,Int Doc,K_CRASH,K People,Lgtruck Nonlgtruck,Light Condition,MAINLINE (group),Mainline Yn,Motor Nonmotor,Node Info,Ownership,Total People Killed & Injured,Ped Nonped,Persons Injured,VSP_Used,Rd Type,Relation To Roadway,Rns Mp,Roadway Alignment,Roadway Description,Roadway Surface Cond,Rte Nm,School Zone,Senior Notsenior,Speed Notspeed,Time Slicing,Total Crashes including Property Damage Only,Traffic Control Type,District_Used ,Weather Condition,Work Zone Related,Young Notyoung
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/12/2014,5/12/2014,20. Motor Vehicle In Transport,1044,K.Fatal Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,9AM TO 12PM,134.Virginia Beach,"2,635",Intersection,Monday,Not DEER,1,141645301,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,0,1. Not at Intersection,141645301,1,1,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541117.  US00060       US00060      13408669,PRI_URBAN,1,Not PED,0,5,NOT-RD,8. Non-Intersection,298.64,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   US00060WB,3. No,SENIOR,Not SPEED,9AM TO 12PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/14/2014,5/14/2014,22. Bicycle,1757,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,3PM TO 6PM,134.Virginia Beach,"2,049",Intersection,Wednesday,Not DEER,1,141495253,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,141495253,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541088.  SR00190       SR00190       US00058       US00058,PRI_URBAN,2,Not PED,2,5,NOT-RD,10. Intersection Related - Within 150 Feet,498.81,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   US00058EB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/14/2014,5/14/2014,20. Motor Vehicle In Transport,1727,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,"2,323",Intersection,Wednesday,Not DEER,1,141365194,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,141365194,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541149.  SR00165       SR00165      13408736,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,0.44,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR08736SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/18/2012,12/18/2012,22. Bicycle,2232,C.Non-Visible Injury,Hampton,Urban,22. Bicycle,9PM TO 12AM,114.Hampton,37,Intersection,Tuesday,Not DEER,1,130560045,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,130560045,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,253023.  SR00134       US00258       US00258      11407033,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,63.67,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   US00258WB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,12/18/2012,12/18/2012,22. Bicycle,2327,K.Fatal Injury,Virginia Beach,Urban,22. Bicycle,9PM TO 12AM,134.Virginia Beach,"1,584",Intersection,Tuesday,Not DEER,1,123635232,"2.Divided, partial control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,0,1. Not at Intersection,123635232,1,1,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541065.  US00058       US00058      13408727,PRI_URBAN,1,Not PED,0,5,NOT-RD,8. Non-Intersection,507.75,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   US00058EB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,8. Yield Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/19/2012,12/19/2012,20. Motor Vehicle In Transport,755,C.Non-Visible Injury,Hampton,Urban,20. Motor Vehicle In Transport,6AM TO 9AM,114.Hampton,"5,074",Intersection,Wednesday,Not DEER,1,130570316,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,130570316,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253100.  SR00169       SR00169       US00258       US00258,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.18,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   SR00169SB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,10/7/2015,10/7/2015,22. Bicycle,1701,C.Non-Visible Injury,Hampton,Urban,22. Bicycle,3PM TO 6PM,114.Hampton,,Not Intersection,Wednesday,Not DEER,1,152955086,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA114SC99999UK,3. No,SENIOR,Not SPEED,3PM TO 6PM,1,5. Slow or Warning Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,10/9/2015,10/9/2015,22. Bicycle,949,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,9AM TO 12PM,134.Virginia Beach,,Not Intersection,Friday,Not DEER,1,152875154,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA134SC99999UK,3. No,SENIOR,Not SPEED,9AM TO 12PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/15/2014,5/15/2014,19. Ped,1646,B.Visiible Injury,Newport News,Urban,19. Ped,3PM TO 6PM,121.Newport News,"1,853",Intersection,Thursday,Not DEER,1,143630008,"0.Two-way, non-divided","8. Off Roadway, Location Unknown",I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,143630008,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,716448. 12100012      12100012      12107034,SEC_URBAN,1,Not PED,1,5,NOT-RD,"13. Driveway, Alley-Access - Related",0.34,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA121UR07034WB,3. No,Not SENIOR,SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,5/15/2014,5/15/2014,20. Motor Vehicle In Transport,1132,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,9AM TO 12PM,134.Virginia Beach,,Not Intersection,Thursday,Not DEER,1,141365019,"3.Divided, full control of access",1. On Roadway,A.Urban Interstate,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,.,VDOT_IS,1,Not PED,1,5,NOT-RD,8. Non-Intersection,24.69,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   IS00264WB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,13. Bicyclist,5/16/2014,5/16/2014,22. Bicycle,2210,B.Visiible Injury,Hampton,Urban,22. Bicycle,9PM TO 12AM,114.Hampton,"3,284",Intersection,Friday,Not DEER,1,142960092,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,HIT_RUN,1,2. Two Approaches,142960092,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,253155.  US00258       US00258      11407051,SEC_URBAN,1,Not PED,1,5,NOT-RD,1. Main-Line Roadway,0.62,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA114UR07051SB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,13. Bicyclist,5/19/2014,5/19/2014,22. Bicycle,610,C.Non-Visible Injury,James City,Urban,22. Bicycle,6AM TO 9AM,47.James City,"1,035",Intersection,Monday,Not DEER,1,141625068,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,141625068,0,0,Not LRTRUCK,1. Dawn,MAINLINE,MAIN,Not MOTORCYCLE,714384.  4700611       4700614       4700614,VDOT_SEC,1,Not PED,1,5,NOT-RD,8. Non-Intersection,8.50,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA047SC00614SB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/20/2014,5/20/2014,20. Motor Vehicle In Transport,1730,C.Non-Visible Injury,Chesapeake,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,131.Chesapeake,11,Intersection,Tuesday,Not DEER,1,141405309,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,141405309,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483363.  SR00166       SR00166       US00013N039B,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,2.64,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00166WB,3. No,Not SENIOR,SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,5. Sideswipe - Opposite Direction,5/22/2014,5/22/2014,20. Motor Vehicle In Transport,814,B.Visiible Injury,Chesapeake,Urban,20. Motor Vehicle In Transport,6AM TO 9AM,131.Chesapeake,,Not Intersection,Thursday,Not DEER,1,141425097,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,2,Not PED,2,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA131SC99999UK,2. Yes - With School Activity,SENIOR,Not SPEED,6AM TO 9AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,13. Bicyclist,5/23/2014,5/23/2014,22. Bicycle,1700,B.Visiible Injury,Norfolk,Urban,22. Bicycle,3PM TO 6PM,122.Norfolk,,Not Intersection,Friday,Not DEER,1,141830286,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA122SC99999UK,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,10/15/2015,10/15/2015,20. Motor Vehicle In Transport,1153,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,9AM TO 12PM,134.Virginia Beach,913,Intersection,Thursday,Not DEER,1,152895163,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,152895163,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,MOTORCYCLE,541066.  US00058       US00058      13400009      13400009,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,0.80,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA134UR00009SB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/24/2014,5/24/2014,22. Bicycle,1725,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,3PM TO 6PM,134.Virginia Beach,,Not Intersection,Saturday,Not DEER,1,141615191,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA134SC99999UK,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,1. Rear End,5/24/2014,5/24/2014,22. Bicycle,37,PDO.Property Damage Only,Virginia Beach,Urban,22. Bicycle,0AM TO 3AM,134.Virginia Beach,201,Intersection,Saturday,Not DEER,1,141605299,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,HIT_RUN,0,1. Not at Intersection,141605299,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541082.  US00058       US00058      13408740      13408740,PRI_URBAN,0,Not PED,0,5,NOT-RD,8. Non-Intersection,500.37,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   US00058WB,3. No,Not SENIOR,Not SPEED,0AM TO 3AM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,13. Bicyclist,5/25/2014,5/25/2014,22. Bicycle,1630,A.Ambulatory Injury,Norfolk,Urban,22. Bicycle,3PM TO 6PM,122.Norfolk,982,Intersection,Sunday,Not DEER,1,141830341,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,141830341,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483115.  SR00403       US00058       US00058      12208678,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.83,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00403NB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,12/24/2012,12/24/2012,20. Motor Vehicle In Transport,1708,A.Ambulatory Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,755,Intersection,Monday,Not DEER,1,123605107,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,123605107,0,0,Not LRTRUCK,3. Dusk,MAINLINE,MAIN,Not MOTORCYCLE,541095. 13400009      13408726     C7US00058     C7US00058,PRI_URBAN,2,Not PED,2,5,NOT-RD,8. Non-Intersection,1.30,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   US00058EBBUS007,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,1/1/2013,1/1/2013,22. Bicycle,1244,A.Ambulatory Injury,Virginia Beach,Urban,22. Bicycle,12PM TO 3PM,134.Virginia Beach,,Not Intersection,Tuesday,Not DEER,1,130025025,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA134SC99999UK,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,1/2/2013,1/2/2013,20. Motor Vehicle In Transport,838,A.Ambulatory Injury,Chesapeake,Urban,20. Motor Vehicle In Transport,6AM TO 9AM,131.Chesapeake,"1,584",Intersection,Wednesday,Not DEER,1,130025140,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,130025140,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483328.  SR00165       SR00165      13108661      13108661,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,5.63,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",2. Wet,R-VA131UR08661NB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,6. Traffic Lanes Marked,5.Hampton Roads,5. Rain,2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/7/2013,1/7/2013,22. Bicycle,642,C.Non-Visible Injury,Norfolk,Urban,22. Bicycle,6AM TO 9AM,122.Norfolk,74,Intersection,Monday,Not DEER,1,130870352,"0.Two-way, non-divided",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,130870352,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,483421.  SR00168       SR00168      12208574      12208639,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,26.34,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00168SB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/9/2013,1/9/2013,22. Bicycle,1332,B.Visiible Injury,Norfolk,Urban,22. Bicycle,12PM TO 3PM,122.Norfolk,,Not Intersection,Wednesday,Not DEER,1,132820035,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,2. Two Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,1. Main-Line Roadway,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA122SC99999UK,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/28/2014,5/28/2014,22. Bicycle,1827,B.Visiible Injury,Hampton,Urban,22. Bicycle,6PM TO 9PM,114.Hampton,739,Intersection,Wednesday,Not DEER,1,142060066,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,142060066,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253053.  SR00152       SR00152      11407011,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.57,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00152EB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,5/28/2014,5/28/2014,22. Bicycle,1026,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,9AM TO 12PM,134.Virginia Beach,5,Intersection,Wednesday,Not DEER,1,141485176,"4.One-way, part of a one-way system",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,141485176,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541108.  US00060       US00060      13408722      13408722,SEC_URBAN,2,Not PED,2,5,NOT-RD,9. Within Intersection,0.53,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR08722WB,3. No,SENIOR,Not SPEED,9AM TO 12PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/2/2014,6/2/2014,20. Motor Vehicle In Transport,1830,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,6PM TO 9PM,134.Virginia Beach,554,Intersection,Monday,Not DEER,1,141565119,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,141565119,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,715394. 13400005      13400007      13400007,SEC_URBAN,2,Not PED,2,5,NOT-RD,9. Within Intersection,2.50,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR00007EB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/3/2014,6/3/2014,20. Motor Vehicle In Transport,1317,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,12PM TO 3PM,134.Virginia Beach,"2,387",Intersection,Tuesday,Not DEER,1,150425137,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,150425137,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541318. 13408590      13408590      13408717      13408717,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.82,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR08590EB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,13. Bicyclist,6/4/2014,6/4/2014,22. Bicycle,1223,C.Non-Visible Injury,Newport News,Urban,22. Bicycle,12PM TO 3PM,121.Newport News,"1,558",Intersection,Wednesday,Not DEER,1,142120074,"1.Divided, no control of access",4. Roadside,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,142120074,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,756306.  US00017       US00017,PRI_URBAN,1,Not PED,1,5,NOT-RD,"13. Driveway, Alley-Access - Related",54.92,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   US00017NB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,13. Other,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/4/2014,6/4/2014,22. Bicycle,12,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,0AM TO 3AM,134.Virginia Beach,,Not Intersection,Wednesday,Not DEER,1,141645298,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,2,Not PED,2,5,NOT-RD,11. Intersection Related - Outside 150 Feet,,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,U-VA134SC99999UK,3. No,Not SENIOR,Not SPEED,0AM TO 3AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,6/4/2014,6/4/2014,20. Motor Vehicle In Transport,2115,A.Ambulatory Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,9PM TO 12AM,134.Virginia Beach,"1,452",Intersection,Wednesday,Not DEER,1,141565222,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,141565222,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541493. 13408669      13408669      13408724      13408724,SEC_URBAN,2,Not PED,2,5,NOT-RD,9. Within Intersection,22.25,3. Grade - Straight,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08669SB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
